time,value
0.10,43.2612
0.20,39.0745
0.30,43.5819
0.40,55.6976
0.50,56.9932
0.60,39.9482
0.70,68.9746
0.80,56.75
0.90,45.4404
1.00,49.7981
1.10,44.9738
1.20,45.4603
1.30,54.2127
1.40,48.2809
1.50,42.7907
1.60,45.2506
1.70,55.1726
1.80,60.4915
1.90,62.7045
2.00,36.6746
2.10,46.6962
2.20,29.1812
2.30,57.4931
2.40,53.3061
2.50,41.6078
2.60,51.9934
2.70,43.386
2.80,45.2819
2.90,48.5342
3.00,58.4583
3.10,55.1493
3.20,53.3628
3.30,28.6832
3.40,56.2348
3.50,45.0143
3.60,59.5652
3.70,42.8433
3.80,41.836
3.90,49.246
4.00,49.3131
4.10,35.6478
4.20,58.9792
4.30,60.1652
4.40,46.7439
4.50,44.4786
4.60,36.861
4.70,46.2568
4.80,55.666
4.90,49.7009
5.00,45.7274
5.10,47.3261
5.20,54.9719
5.30,59.0326
5.40,46.9498
5.50,62.6165
5.60,51.0365
5.70,41.2139
5.80,118.4
5.90,132.7
6.00,-21.3
